W_REGN,W_PROV,SEQ_NO,FSIZE,TOINC,COFFEE,COCOA,FOOD_OUTSIDE,TOTEX
13,74,110171,2.0,254285.0,268.0,0.0,7940.0,199668.0
13,74,110172,2.0,892651.0,2208.0,96.0,12000.0,417926.9
13,74,110173,5.0,409652.0,1222.0,96.0,12000.0,393022.05
13,74,110174,3.0,730383.0,528.0,96.0,11000.0,674124.72
13,74,110175,4.0,654171.0,2208.0,2856.0,26700.0,576896.18
13,74,110176,6.0,563995.0,3184.0,96.0,16800.0,580391.1
13,74,110177,2.0,684651.0,780.0,96.0,54000.0,309308.18
13,74,110178,4.5,286906.0,2288.0,0.0,12600.0,268009.0
13,74,110179,3.0,186015.0,1084.0,2248.0,15300.0,164582.0
13,74,110180,2.0,211500.0,4038.0,0.0,19980.0,178005.0
13,74,110181,5.0,316507.0,3704.0,0.0,39700.0,236983.0
13,74,110182,6.0,308489.0,3342.0,0.0,18100.0,280919.0
13,74,110183,5.5,368849.0,3342.0,2534.0,78100.0,322717.0
13,74,110184,3.5,385704.0,5653.0,0.0,61700.0,298094.0
13,74,110185,4.0,334468.0,5878.0,2534.0,28400.0,289655.0
13,74,110186,4.5,160249.0,2534.0,814.0,33840.0,150074.0
13,74,110187,3.0,448731.0,4094.0,0.0,160000.0,429256.0
13,74,110188,3.0,282491.0,3626.0,2534.0,24900.0,224573.0
13,74,110189,7.0,280466.0,3432.0,975.0,11500.0,278396.0
13,74,110190,11.0,405631.0,6290.0,2896.0,30100.0,348352.5
13,74,110191,2.0,125879.0,4172.0,0.0,3900.0,123959.5
13,74,110192,9.0,459214.0,21134.0,624.0,28700.0,431423.75
13,74,110193,4.0,336187.0,4224.0,0.0,4800.0,285176.5
13,74,110194,3.0,414257.0,5988.0,0.0,85600.0,362078.75
13,74,110195,4.0,220295.0,3484.0,3312.0,10900.0,222075.0
13,74,110196,2.0,242962.0,2872.0,0.0,4500.0,199074.5
13,74,110197,7.5,477072.0,1924.0,0.0,43350.0,455250.0
13,74,110198,5.0,187075.0,2384.0,0.0,1690.0,167003.0
13,74,110199,5.5,500412.0,6032.0,648.0,89500.0,492570.0
13,74,110200,7.0,363781.0,2964.0,11466.0,0.0,341055.5
13,74,110201,5.5,863200.0,2316.0,0.0,28700.0,723843.75
13,74,110202,5.0,260706.0,5478.0,0.0,11000.0,250397.5
13,74,110203,3.0,308259.0,1090.0,0.0,2600.0,301941.0
13,74,110204,4.5,289310.0,6966.0,0.0,24800.0,259583.25
13,74,110205,3.5,1816000.0,1320.0,840.0,159000.0,1507548.0
13,74,110206,4.0,2233760.0,4866.0,0.0,239000.0,1286508.0
13,74,110207,1.5,203087.0,2172.0,0.0,8340.0,142262.0
13,74,110208,3.0,491289.0,3458.0,470.0,53400.0,329458.0
13,74,110209,4.0,476434.0,4612.0,80.0,7050.0,278971.0
13,74,110210,6.0,569629.0,8498.0,160.0,119850.0,499206.0
13,74,110211,4.5,354251.0,5378.0,80.0,4750.0,319009.0
13,74,110212,6.5,571051.0,5532.0,80.0,55500.0,480494.0
13,74,110213,8.5,827980.0,4512.0,0.0,101200.0,694253.0
13,74,110214,4.0,356210.0,2608.0,80.0,26900.0,356559.0
13,74,110215,5.5,631007.0,4056.0,565.0,7400.0,333765.0
13,74,110216,3.0,323952.0,2534.0,1477.0,23420.0,270636.0
13,74,110217,3.5,293146.0,7098.0,160.0,34860.0,230844.0
13,74,110218,6.0,248048.0,9852.0,0.0,35750.0,242727.0
13,74,110219,4.0,318250.0,3800.0,0.0,15600.0,293045.0
13,74,110220,3.0,525122.0,1586.0,1116.0,27400.0,357120.0
13,74,110221,4.0,249008.0,6362.0,1840.0,15100.0,218165.0
13,74,110222,6.5,374250.0,3228.0,1840.0,21500.0,305347.0
13,74,110223,4.0,521600.0,2015.0,0.0,5000.0,381685.0
13,74,110224,7.0,452700.0,4171.0,0.0,4800.0,388376.0
13,74,110225,4.5,330169.0,2769.0,0.0,11250.0,298098.0
13,74,110226,3.0,569010.0,689.0,104.0,9200.0,343144.0
13,74,110227,2.0,168500.0,364.0,0.0,11500.0,157657.0
13,74,110228,7.5,653080.0,2470.0,0.0,31500.0,629525.0
13,74,110229,3.0,308990.0,1040.0,0.0,12600.0,286252.0
13,74,110230,3.5,363800.0,1014.0,1448.0,14200.0,370480.0
13,74,110231,1.0,226355.0,3150.0,0.0,3900.0,244368.0
13,74,110232,8.0,518647.0,702.0,0.0,11000.0,389974.0
13,74,110233,7.5,291475.0,1825.0,0.0,20600.0,338815.0
13,74,110234,7.5,803420.0,4928.0,0.0,36200.0,620478.0
13,74,110235,7.0,614603.0,2210.0,1789.0,11600.0,537978.0
13,74,110236,4.0,403472.0,2901.0,1890.0,23500.0,383152.0
13,74,110237,2.0,374352.0,1872.0,110.0,27300.0,316990.0
13,74,110238,2.0,132672.0,2726.0,366.0,3900.0,144969.0
13,74,110239,2.0,245200.0,750.0,0.0,3400.0,137692.5
13,74,110240,7.5,1043720.0,1755.0,780.0,29760.0,409715.5
13,74,110241,8.5,462370.0,1443.0,0.0,52800.0,342049.5
13,74,110242,3.0,217000.0,1222.0,0.0,5500.0,213286.5
13,74,110243,5.5,326220.0,7272.0,312.0,20450.0,242795.0
13,74,110244,6.5,192120.0,884.0,0.0,3600.0,190602.5
13,74,110245,8.0,245719.0,1378.0,0.0,3500.0,213143.0
13,74,110246,9.5,353640.0,2010.0,0.0,39600.0,343236.0
13,74,110247,3.0,308920.0,1196.0,0.0,38000.0,249438.0
13,74,110248,4.0,431005.0,864.0,0.0,6000.0,229904.5
13,74,110249,8.0,411914.0,9895.0,0.0,18500.0,330285.5
13,74,110250,9.0,346858.0,1620.0,0.0,19800.0,374399.0
13,74,110251,4.0,591900.0,9055.0,0.0,5200.0,476783.5
13,74,110252,9.0,1363520.0,9960.0,0.0,135200.0,778546.0
